kys_id,canonical_id,is_canonical,status,is_number,is_base_id,is_prefix,is_num,is_part,is_section,is_year,malformed_number,title_clean,title,common_title,aspect,equivalence,intl_equivalent,bilingual,language,revisions,amendments_n,reaffirmed_year,last_confirmed_year,superseding,replaced_by_id,replaced_by_is,replacement_source,dept_code,committee_code,committee,group,sub_group,sub_sub_group,mandatory_cert,certification,qco_status,qco_date,hs_codes,ministries,n_license,n_laboratory,pdf_download_id,n_refers_to,n_referred_by
1,1,True,withdrawn,IS 2324 (Part 2):1985,IS 2324 (Part 2),IS,2324,2,,1985,False,Bonded Abrasive Grinding Wheels - Part 2 : Dimensions,Bonded Abrasive Grinding Wheels - Part 2 : Dimensions (Withdrawn),,N/A,Indigenous,,False,English,2,1,,1985,,,,,PGD,PGD 09,PGD 09 (Abrasives Sectional Committee),,,,False,,,,,,,,,0,16
2,2,True,current,IS/IEC/TS 62351-1:2007,IS/IEC/TS 62351-1,IS/IEC/TS,62351-1,,,2007,False,Power systems management and associated information exchange - Data and communications: Security: Part 1 communication network and system: Security - Introduction to: Security issues,Power systems management and associated information exchange - Data and communications: Security: Part 1 communication network and system: Security - Introduction to: Security issues,,Methods of tests,Identical under single numbering,,False,English,New Standard,No amendment issued,,2007,,,,,LITD,LITD 10,LITD 10 (Power System Control And Associated Communications Sectional Committee),"Electronic and Telecom equipments, components and devices",Power system control and communication,Power System Control and Communications,False,,,,,,0,0,2,0,18
3,3,True,current,IS/IEC/TS 62351-2:2008,IS/IEC/TS 62351-2,IS/IEC/TS,62351-2,,,2008,False,Power systems management and associated information exchange - Data and communications: Security: Part 2 glossary of terms,Power systems management and associated information exchange - Data and communications: Security: Part 2 glossary of terms,,Terminology,Identical under single numbering,,False,English,New Standard,No amendment issued,,2008,,,,,LITD,LITD 10,LITD 10 (Power System Control And Associated Communications Sectional Committee),"Electronic and Telecom equipments, components and devices",Power system control and communication,Power System Control and Communications,False,,,,,,0,0,3,0,35
4,4,True,withdrawn,IS/IEC/TS 62351-3:2014,IS/IEC/TS 62351-3,IS/IEC/TS,62351-3,,,2014,False,Power Systems Management and Associated Information Exchange — Data and Communications Security Part 3 Communication Network and System Security — Profiles Including TCP/IP ( First Revision ),Power Systems Management and Associated Information Exchange — Data and Communications Security Part 3 Communication Network and System Security — Profiles Including TCP/IP ( First Revision ) (Withdrawn),,Code of Practice,Identical under single numbering,,False,English,1,No amendment issued,,2014,,,,,LITD,LITD 10,LITD 10 (Power System Control And Associated Communications Sectional Committee),"Electronic and Telecom equipments, components and devices",Power system control and communication,Power System Control and Communications,False,,,,,,,,,2,17
5,5,True,withdrawn,IS/IEC/TS 62351-4:2007,IS/IEC/TS 62351-4,IS/IEC/TS,62351-4,,,2007,False,Power systems management and associated information exchange - Data and communications: Security: Part 4 profiles including mms,Power systems management and associated information exchange - Data and communications: Security: Part 4 profiles including mms (Withdrawn),,Code of Practice,Identical under single numbering,,False,English,New Standard,No amendment issued,,2007,,26770,IS/IEC/TS 62351-4:2020,newer_edition,LITD,LITD 10,LITD 10 (Power System Control And Associated Communications Sectional Committee),"Electronic and Telecom equipments, components and devices",Power system control and communication,Power System Control and Communications,False,,,,,,,,,4,6
6,6,True,withdrawn,IS 13849:1993,IS 13849,IS,13849,,,1993,False,Specification for portable fire extinguisher dry powder type (constant pressure),Specification for portable fire extinguisher dry powder type (constant pressure) (Withdrawn),,N/A,Indigenous,,False,English,New Standard,11,,1993,,,,,CED,CED 22,CED 22 (Fire Fighting Sectional Committee),,,,False,,,,,,,,,0,1
7,7,True,withdrawn,IS 12762 (Part 5):2018,IS 12762 (Part 5),IS,12762,5,,2018,False,Photovoltaic devices: Part 2 Requirements for photovoltaic reference devices (Second Revision),Photovoltaic devices: Part 2 Requirements for photovoltaic reference devices (Second Revision) (Withdrawn),,Others,Identical under dual numbering,,False,English,2,No amendment issued,,2018,,21165,IS 12762 (Part 5):2014,newer_edition,ETD,ETD 28,ETD 28 (Solar Photovoltaic Energy Systems Sectional Committee),Electrical Switchgear and Other Electrical Products/Accessories,Renewable energy devices,Photovoltaic devices,False,,,,,,,,,5,12
8,8,True,withdrawn,IS/IEC/TS 62351-6:2013,IS/IEC/TS 62351-6,IS/IEC/TS,62351-6,,,2013,False,Power systems management and associated information exchange - Data and communications: Security: Part 6: Security for IEC 61850,Power systems management and associated information exchange - Data and communications: Security: Part 6: Security for IEC 61850 (Withdrawn),,Code of Practice,Identical under single numbering,,False,English,New Standard,No amendment issued,,2013,,,,,LITD,LITD 10,LITD 10 (Power System Control And Associated Communications Sectional Committee),"Electronic and Telecom equipments, components and devices",Power system control and communication,Power System Control and Communications,False,,,,,,,,,4,6
9,9,True,withdrawn,IS/IEC/TS 62351-7:2010,IS/IEC/TS 62351-7,IS/IEC/TS,62351-7,,,2010,False,Power systems management and associated information exchange - Data and communications: Security: Part 7 network and system management (NSM) data object models,Power systems management and associated information exchange - Data and communications: Security: Part 7 network and system management (NSM) data object models (Withdrawn),,Code of Practice,Identical under single numbering,,False,English,New Standard,No amendment issued,,2010,,,,,LITD,LITD 10,LITD 10 (Power System Control And Associated Communications Sectional Committee),"Electronic and Telecom equipments, components and devices",Power system control and communication,Power System Control and Communications,False,,,,,,,,,4,4
10,10,True,withdrawn,IS 1121 (Part 1):2013,IS 1121 (Part 1),IS,1121,1,,2013,False,Determination of strength properties of natural building stones - Methods of test: Part 1 compressive strength (Second Revision),Determination of strength properties of natural building stones - Methods of test: Part 1 compressive strength (Second Revision) (Withdrawn),,Methods of tests,Indigenous,,False,English,2,No amendment issued,,2013,,29978,IS 1121 (Part 1):2023,newer_edition,CED,CED 06,CED 06 (Stones Sectional Committee),Building Materials including Paints,"Flooring, Roofing and Wall Finishing Products",Stone including sampling and testing,False,,,,,,,,,2,14
11,11,True,withdrawn,IS 1121 (Part 2):2013,IS 1121 (Part 2),IS,1121,2,,2013,False,Determination of strength properties of natural building stones - Methods of test: Part 2 transverse strength (Second Revision),Determination of strength properties of natural building stones - Methods of test: Part 2 transverse strength (Second Revision) (Withdrawn),,Methods of tests,Indigenous,,False,English,2,No amendment issued,,2013,,29979,IS 1121 (Part 2):2023,newer_edition,CED,CED 06,CED 06 (Stones Sectional Committee),Building Materials including Paints,"Flooring, Roofing and Wall Finishing Products",Stone including sampling and testing,False,,,,,,,,,1,7
12,12,True,withdrawn,IS 15832:2008,IS 15832,IS,15832,,,2008,False,Glossary of technical terms related to environmental impact,Glossary of technical terms related to environmental impact (Withdrawn),,Code of Practice,Indigenous,,False,English,New Standard,No amendment issued,,2008,,27494,IS 15832:2022,newer_edition,WRD,WRD 24,WRD 24 (Environmental Assessment And Management Of Water Resources Projects Sectional Committee),Civil Engineering Design and Construction,Hydraulic and other related structures,Environmental Impact Assessment and Environmental Management of River Valley Projects,False,,,,,,,,,0,1
13,13,True,current,IS 1121 (Part 4):2013,IS 1121 (Part 4),IS,1121,4,,2013,False,Determination of strength properties of natural building stones - Methods of test: Part 4 shear strength (Second Revision),Determination of strength properties of natural building stones - Methods of test: Part 4 shear strength (Second Revision),Determination of Strength Properties of Natural Building Stones - Methods of Test Part 4 Shear Stren,Methods of tests,Indigenous,,False,English,2,No amendment issued,,2013,,,,,CED,CED 06,CED 06 (Stones Sectional Committee),Building Materials including Paints,"Flooring, Roofing and Wall Finishing Products",Stone including sampling and testing,False,,,,,,0,0,13,1,7
14,14,True,withdrawn,IS 1192:2013,IS 1192,IS,1192,,,2013,False,Hydrometry - Measurement of liquid flow in open channels using current - Meters or floats (Second Revision),Hydrometry - Measurement of liquid flow in open channels using current - Meters or floats (Second Revision) (Withdrawn),,Code of Practice,Identical under dual numbering,,False,English,2,No amendment issued,,2013,,31914,IS 1192:2024,newer_edition,WRD,WRD 01,WRD 01 (Hydrometry Sectional Committee),Civil Engineering Design and Construction,Hydrometry and equipments,Hydrometry & Equipments,False,,,,,,,,,6,12
15,15,True,withdrawn,IS 12752:2013,IS 12752,IS,12752,,,2013,False,Hydrometric determinations - Flow measurements in open channels using structures - Guidelines for selection of structure (First Revision),Hydrometric determinations - Flow measurements in open channels using structures - Guidelines for selection of structure (First Revision) (Withdrawn),,Code of Practice,Identical under dual numbering,,False,English,1,No amendment issued,,2013,,33171,IS 12752:2025,newer_edition,WRD,WRD 01,WRD 01 (Hydrometry Sectional Committee),Civil Engineering Design and Construction,Hydraulic and other related structures,"Canals and Cross Drainage works - Construction Design, Maintianance and seepage assessment",False,,,,,,,,,6,1
16,16,True,withdrawn,IS 13534:2013,IS 13534,IS,13534,,,2013,False,Hydraulic fluid power - Valves - Determination of pressure differential/ flow characteristics (First Revision),Hydraulic fluid power - Valves - Determination of pressure differential/ flow characteristics (First Revision) (Withdrawn),,Product Specification,Identical under dual numbering,,False,English,1,No amendment issued,,2013,,28787,IS 13534:2023,newer_edition,PGD,PGD 36,PGD 36 (Fluid Power Systems Sectional Committee),"Gases, Gas Cylinders , Machine tools and other mechanical products",Hand tools and machine components,Fluid Power system and Hydraulic machines,False,,,,,,,,,6,0
17,17,True,current,IS 15744:2007,IS 15744,IS,15744,,,2007,False,"Angular Deflection for ""C"" Frame Mechanical Presses — Specification","Angular Deflection for ""C"" Frame Mechanical Presses — Specification",,Product Specification,Indigenous,,False,English,New Standard,No amendment issued,,2007,,,,,PGD,PGD 04,PGD 04 (Metal Forming Machines Sectional Committee),"Gases, Gas Cylinders , Machine tools and other mechanical products",Hand tools and machine components,Machines Presses & Press Work,False,,,,,,0,0,17,6,0
18,18,True,current,IS 1448 (Part 27):2018,IS 1448 (Part 27),IS,1448,27,,2018,False,Methods of test for petroleum and its products [P: 27] determination of knock characteristics of motor fuels - Research method (Second Revision),Methods of test for petroleum and its products [P: 27] determination of knock characteristics of motor fuels - Research method (Second Revision),,Methods of tests,Identical under dual numbering,,False,English,2,No amendment issued,,2018,,,,,PCD,PCD 01,PCD 01 (Methods of Sampling and Test for Petroleum and Related Products of Natural or Synthetic Origin (excluding bitumen) Sectional Committee),Coal and Petroleum products,Petroleum products,"Engines and Rig Performance Test Methods for Petroleum, Petroleum Products & Lubricants",False,,,,,,0,0,18,2,10
